Rotation_Type,Window,CSBACRES,Strategy_Category
Rot Corn-Other (243),2017-2024,339.169979438685,Rotation
Rot Corn-Other (244),2017-2024,29.3855036601453,Rotation
Rot Corn-Other (245),2017-2024,11.40712313618187,Rotation
Rot Corn-Other (25),2017-2024,23.582615079771763,Rotation
Rot Corn-Other (27),2017-2024,1200.0386200996754,Rotation
Rot Corn-Other (28),2017-2024,2823.7380060200435,Rotation
Rot Corn-Other (29),2017-2024,108.28312169311405,Rotation
Rot Corn-Other (39),2017-2024,86.65711039613132,Rotation
Rot Corn-Other (41),2017-2024,275.88851092262985,Rotation
Rot Corn-Other (42),2017-2024,5227.9155191022555,Rotation
Rot Corn-Other (43),2017-2024,1930.261724258946,Rotation
Rot Corn-Other (44),2017-2024,201.46615763540876,Rotation
Rot Corn-Other (47),2017-2024,92.98073631339122,Rotation
Rot Corn-Other (49),2017-2024,568.913030828245,Rotation
Rot Corn-Other (50),2017-2024,143.89550422227543,Rotation
Rot Corn-Other (53),2017-2024,1939.6811405525518,Rotation
Rot Corn-Other (56),2017-2024,3.04308165645704,Rotation
Rot Corn-Other (58),2017-2024,349.3292964726597,Rotation
Rot Corn-Other (6),2017-2024,49.8651282393191,Rotation
Rot Corn-Other (60),2017-2024,11.1530738616756,Rotation
Rot Corn-Other (66),2017-2024,6.68716945337731,Rotation
Rot Corn-Other (68),2017-2024,908.5011245460573,Rotation
Rot Corn-Other (69),2017-2024,602.4791604242928,Rotation
Rot Corn-Other (70),2017-2024,8.06506130144193,Rotation
Rot Corn-Other Hay,2017-2024,67753.23254055351,Rotation
Rot Corn-Sod/Grass Seed,2017-2024,75.29899429352459,Rotation
Rot Corn-Sorghum,2017-2024,1103.9564004957858,Rotation
Rot Corn-Soybeans,2017-2024,306104.8606285279,Rotation
Rot Corn-Spring Wheat,2017-2024,2.93944396443346,Rotation
Rot Corn-Winter Wheat,2017-2024,15497.771173807025,Rotation
Rot Developed-Grass/Pasture,2017-2024,43.60177060320119,Rotation
Rot Developed-Other (12),2017-2024,4.64171092793598,Rotation
Rot Developed-Other (205),2017-2024,6.88495691007856,Rotation
Rot Developed-Other (229),2017-2024,23.2189793983869,Rotation
Rot Developed-Other (27),2017-2024,10.87094265918876,Rotation
Rot Developed-Other (28),2017-2024,3.10380017803768,Rotation
Rot Developed-Other (42),2017-2024,3.59584020282613,Rotation
Rot Developed-Other (49),2017-2024,9.807844343909569,Rotation
Rot Developed-Other (67),2017-2024,3.62346641273696,Rotation
Rot Developed-Other (68),2017-2024,125.2760959063178,Rotation
Rot Developed-Other (69),2017-2024,132.98252280048183,Rotation
Rot Developed-Other (77),2017-2024,4.84056316495329,Rotation
Rot Developed-Other Hay,2017-2024,1347.8368478116154,Rotation
Rot Developed-Soybeans,2017-2024,5.72491314845053,Rotation
Rot Developed-Winter Wheat,2017-2024,20.60533135174945,Rotation
Rot Fallow-Grass/Pasture,2017-2024,66.91999500577731,Rotation
Rot Fallow-Other (131),2017-2024,2.47598410352295,Rotation
Rot Fallow-Other (28),2017-2024,9.25991288526759,Rotation
Rot Fallow-Other (49),2017-2024,159.6297646822821,Rotation
Rot Fallow-Other (67),2017-2024,8.71540714683868,Rotation
Rot Fallow-Other (68),2017-2024,552.3229143608877,Rotation
Rot Fallow-Other (69),2017-2024,4.94610044059179,Rotation
Rot Fallow-Other Hay,2017-2024,725.1757926654283,Rotation
Rot Fallow-Soybeans,2017-2024,3343.511441240281,Rotation
Rot Fallow-Winter Wheat,2017-2024,74.99191766187627,Rotation
Rot Forest-Grass/Pasture,2017-2024,39.30612139866867,Rotation
Rot Forest-Other (12),2017-2024,145.29657319229008,Rotation
Rot Forest-Other (152),2017-2024,2.63597623894885,Rotation
Rot Forest-Other (205),2017-2024,2.32392754684342,Rotation
Rot Forest-Other (219),2017-2024,2.96456771559746,Rotation
Rot Forest-Other (228),2017-2024,5.48352733145273,Rotation
Rot Forest-Other (27),2017-2024,25.87388311963145,Rotation
Rot Forest-Other (28),2017-2024,26.769304272472326,Rotation
Rot Forest-Other (30),2017-2024,12.22026941180179,Rotation
Rot Forest-Other (42),2017-2024,12.16213674763434,Rotation
Rot Forest-Other (43),2017-2024,14.40622270400713,Rotation
Rot Forest-Other (44),2017-2024,57.59185723416246,Rotation
Rot Forest-Other (49),2017-2024,8.68211754090034,Rotation
Rot Forest-Other (50),2017-2024,17.0811395234186,Rotation
Rot Forest-Other (66),2017-2024,34.131285024168264,Rotation
Rot Forest-Other (67),2017-2024,19.54474514646462,Rotation
Rot Forest-Other (68),2017-2024,504.5961871757769,Rotation
Rot Forest-Other (69),2017-2024,1810.9726693029022,Rotation
Rot Forest-Other Hay,2017-2024,849.9927773744577,Rotation
Rot Forest-Soybeans,2017-2024,136.47747653480573,Rotation
Rot Forest-Winter Wheat,2017-2024,161.1661192963777,Rotation
Rot Grass/Pasture-Other (12),2017-2024,61.44977859833081,Rotation
Rot Grass/Pasture-Other (131),2017-2024,10.807906257640429,Rotation
Rot Grass/Pasture-Other (152),2017-2024,6.47152168886796,Rotation
Rot Grass/Pasture-Other (205),2017-2024,8.28660258090364,Rotation
Rot Grass/Pasture-Other (220),2017-2024,5.96450792720133,Rotation
Rot Grass/Pasture-Other (222),2017-2024,14.4332917031871,Rotation
Rot Grass/Pasture-Other (242),2017-2024,102.68498697676876,Rotation
Rot Grass/Pasture-Other (25),2017-2024,15.998415711774651,Rotation
Rot Grass/Pasture-Other (27),2017-2024,125.5851653640298,Rotation
Rot Grass/Pasture-Other (28),2017-2024,2.70760954736806,Rotation
Rot Grass/Pasture-Other (29),2017-2024,4.39935394687497,Rotation
Rot Grass/Pasture-Other (39),2017-2024,4.79891561866505,Rotation
Rot Grass/Pasture-Other (42),2017-2024,7.23518386494721,Rotation
Rot Grass/Pasture-Other (43),2017-2024,126.4480367979651,Rotation
Rot Grass/Pasture-Other (44),2017-2024,2.99304966812502,Rotation
Rot Grass/Pasture-Other (47),2017-2024,5.8294226630496695,Rotation
Rot Grass/Pasture-Other (49),2017-2024,25.77437146715866,Rotation
Rot Grass/Pasture-Other (56),2017-2024,12.63684912905872,Rotation
Rot Grass/Pasture-Other (58),2017-2024,3.6043947137829,Rotation
Rot Grass/Pasture-Other (6),2017-2024,8.22411456587627,Rotation
Rot Grass/Pasture-Other (66),2017-2024,72.93425770111992,Rotation
Rot Grass/Pasture-Other (67),2017-2024,50.22779138714991,Rotation
Rot Grass/Pasture-Other (68),2017-2024,14268.40556864168,Rotation
Rot Grass/Pasture-Other (69),2017-2024,16256.255179706553,Rotation
Rot Grass/Pasture-Other (70),2017-2024,16.1786909142001,Rotation
Rot Grass/Pasture-Other (77),2017-2024,9.10506683827369,Rotation
Rot Grass/Pasture-Other Hay,2017-2024,1109407.6194964724,Rotation
Rot Grass/Pasture-Sorghum,2017-2024,18.932526934118222,Rotation
Rot Grass/Pasture-Soybeans,2017-2024,811.4342187410566,Rotation
Rot Grass/Pasture-Winter Wheat,2017-2024,173.65534900969527,Rotation
Rot Other (111)-Other (68),2017-2024,3.70120869437001,Rotation
Rot Other (111)-Other (92),2017-2024,3.31938077057141,Rotation
Rot Other (111)-Other Hay,2017-2024,24.36882090855462,Rotation
Rot Other (111)-Winter Wheat,2017-2024,8.79266293217443,Rotation
Rot Other (12)-Other (131),2017-2024,3.71823847596086,Rotation
Rot Other (12)-Other (142),2017-2024,2.98290637535681,Rotation
Rot Other (12)-Other (49),2017-2024,48.319116695702,Rotation
Rot Other (12)-Other (68),2017-2024,140.57797688081743,Rotation
Rot Other (12)-Other Hay,2017-2024,10.109938350034358,Rotation
Rot Other (12)-Soybeans,2017-2024,38.608751599639476,Rotation
Rot Other (122)-Other (68),2017-2024,3.9773882498898,Rotation
Rot Other (122)-Other (69),2017-2024,9.3483056880037,Rotation
Rot Other (122)-Other Hay,2017-2024,91.850566793166,Rotation
Rot Other (123)-Other (27),2017-2024,2.72723818977929,Rotation
Rot Other (123)-Other (42),2017-2024,5.13671969461411,Rotation
Rot Other (123)-Other Hay,2017-2024,50.31008524736718,Rotation
Rot Other (124)-Other (53),2017-2024,5.32064593305295,Rotation
Rot Other (124)-Other (68),2017-2024,7.85271758970634,Rotation
Rot Other (124)-Other Hay,2017-2024,43.57099794638044,Rotation
Rot Other (124)-Soybeans,2017-2024,8.098047020971,Rotation
Rot Other (131)-Other (27),2017-2024,4.04396883035892,Rotation
Rot Other (131)-Other (44),2017-2024,3.72222963881928,Rotation
Rot Other (131)-Other (68),2017-2024,17.5188554786955,Rotation
Rot Other (131)-Other (69),2017-2024,5.8724998033235405,Rotation
Rot Other (131)-Other Hay,2017-2024,64.30743426610626,Rotation
Rot Other (131)-Soybeans,2017-2024,17.89092061626917,Rotation
Rot Other (142)-Other Hay,2017-2024,8.01873131069275,Rotation
Rot Other (142)-Sorghum,2017-2024,3.71573215022326,Rotation
Rot Other (142)-Winter Wheat,2017-2024,6.73443746688192,Rotation
Rot Other (143)-Other (68),2017-2024,24.18323792353504,Rotation
Rot Other (143)-Other (69),2017-2024,32.74666780632762,Rotation
Rot Other (143)-Other (92),2017-2024,5.42331092359282,Rotation
Rot Other (143)-Other Hay,2017-2024,22.14383336455858,Rotation
Rot Other (152)-Other (68),2017-2024,29.73124864796621,Rotation
Rot Other (190)-Other (3),2017-2024,5.1944949046213,Rotation
Rot Other (190)-Other (43),2017-2024,12.0935493369535,Rotation
Rot Other (190)-Other (49),2017-2024,159.65626974038787,Rotation
Rot Other (190)-Other (68),2017-2024,6.73216287895258,Rotation
Rot Other (190)-Other (69),2017-2024,3.31249704090407,Rotation
Rot Other (190)-Other Hay,2017-2024,61.55893807050382,Rotation
Rot Other (190)-Soybeans,2017-2024,25.131981335268428,Rotation
Rot Other (190)-Winter Wheat,2017-2024,2.59913716310541,Rotation
Rot Other (195)-Other (28),2017-2024,12.5020585217633,Rotation
Rot Other (195)-Other (49),2017-2024,69.14722045242759,Rotation
Rot Other (195)-Other Hay,2017-2024,60.803973323578944,Rotation
Rot Other (195)-Soybeans,2017-2024,24.847311253155002,Rotation
Rot Other (205)-Other Hay,2017-2024,39.53567378241358,Rotation
Rot Other (206)-Other (49),2017-2024,6.58255092497051,Rotation
Rot Other (216)-Other (69),2017-2024,14.86343186432984,Rotation
Rot Other (219)-Other (49),2017-2024,176.31297156384474,Rotation
Rot Other (220)-Other (68),2017-2024,68.9004550212166,Rotation
Rot Other (221)-Other Hay,2017-2024,5.57791050978524,Rotation
Rot Other (222)-Other (49),2017-2024,46.434856617131814,Rotation
Rot Other (222)-Sod/Grass Seed,2017-2024,23.93876332380896,Rotation
Rot Other (222)-Soybeans,2017-2024,68.4998866073624,Rotation
Rot Other (227)-Other (49),2017-2024,15.0384059081231,Rotation
Rot Other (228)-Other Hay,2017-2024,293.1788550994858,Rotation
Rot Other (228)-Soybeans,2017-2024,13.5754094423407,Rotation
Rot Other (229)-Other Hay,2017-2024,15.27755943434326,Rotation
Rot Other (236)-Other Hay,2017-2024,18.79025928412372,Rotation
Rot Other (242)-Other (69),2017-2024,35.53228359259958,Rotation
Rot Other (243)-Other (49),2017-2024,4.82857725596388,Rotation
Rot Other (243)-Other (68),2017-2024,41.14679436847629,Rotation
Rot Other (243)-Other (69),2017-2024,4.17062992962507,Rotation
Rot Other (246)-Other (49),2017-2024,10.7177186943097,Rotation
Rot Other (249)-Other Hay,2017-2024,5.28813844889341,Rotation
Rot Other (25)-Other Hay,2017-2024,45.31293710727962,Rotation
Rot Other (26)-Other Hay,2017-2024,2.38483796744741,Rotation
Rot Other (27)-Other (43),2017-2024,6.89576430251351,Rotation
Rot Other (27)-Other Hay,2017-2024,51.14788403774001,Rotation
Rot Other (27)-Soybeans,2017-2024,26.4895967577725,Rotation
Rot Other (27)-Winter Wheat,2017-2024,10.67705790163825,Rotation
Rot Other (28)-Other (43),2017-2024,75.0851439754195,Rotation
Rot Other (28)-Other Hay,2017-2024,143.3645617210252,Rotation
Rot Other (28)-Soybeans,2017-2024,102.19863351743679,Rotation
Rot Other (29)-Other Hay,2017-2024,42.8808314379636,Rotation
Rot Other (29)-Soybeans,2017-2024,23.0460664080817,Rotation
Rot Other (30)-Other Hay,2017-2024,14.40968989012954,Rotation
Rot Other (35)-Other (49),2017-2024,44.14750237471604,Rotation
Rot Other (39)-Other Hay,2017-2024,45.9080842455394,Rotation
Rot Other (39)-Soybeans,2017-2024,38.3151591416303,Rotation
Rot Other (41)-Other (68),2017-2024,16.7813884864303,Rotation
Rot Other (42)-Other (68),2017-2024,58.09196493742801,Rotation
Rot Other (42)-Other (69),2017-2024,9.62270761418415,Rotation
Rot Other (42)-Other Hay,2017-2024,54.95419789601585,Rotation
Rot Other (42)-Soybeans,2017-2024,93.20119371942731,Rotation
Rot Other (43)-Other (49),2017-2024,358.55933653355766,Rotation
Rot Other (43)-Other (68),2017-2024,32.01885956767265,Rotation
Rot Other (43)-Other (69),2017-2024,39.422684570864604,Rotation
Rot Other (43)-Other Hay,2017-2024,5.82874648275009,Rotation
Rot Other (43)-Soybeans,2017-2024,30.637831613223113,Rotation
Rot Other (43)-Winter Wheat,2017-2024,1352.3845432054634,Rotation
Rot Other (44)-Other (68),2017-2024,3.7587267777579,Rotation
Rot Other (44)-Other (69),2017-2024,8.20010960483621,Rotation
Rot Other (44)-Other Hay,2017-2024,13.4971025316261,Rotation
Rot Other (44)-Soybeans,2017-2024,9.56246613191109,Rotation
Rot Other (47)-Other Hay,2017-2024,10.0138250546675,Rotation
Rot Other (49)-Other (50),2017-2024,9.00848674224302,Rotation
Rot Other (49)-Other (57),2017-2024,158.7187976188189,Rotation
Rot Other (49)-Other Hay,2017-2024,178.2398509284543,Rotation
Rot Other (49)-Sod/Grass Seed,2017-2024,86.66038318505603,Rotation
Rot Other (49)-Sorghum,2017-2024,58.1890096581374,Rotation
Rot Other (49)-Soybeans,2017-2024,1919.4478903904271,Rotation
Rot Other (50)-Other (68),2017-2024,69.4080143026587,Rotation
Rot Other (54)-Other Hay,2017-2024,3.2978937669446,Rotation
Rot Other (57)-Sod/Grass Seed,2017-2024,50.2422025275917,Rotation
Rot Other (58)-Other (68),2017-2024,27.18689456763996,Rotation
Rot Other (58)-Other Hay,2017-2024,175.25191406645968,Rotation
Rot Other (66)-Other (68),2017-2024,1531.8294293923784,Rotation
Rot Other (66)-Other (69),2017-2024,42.60793388029429,Rotation
Rot Other (67)-Other (68),2017-2024,215.458625284584,Rotation
Rot Other (67)-Sod/Grass Seed,2017-2024,5.10044764262171,Rotation
Rot Other (68)-Other (69),2017-2024,47.38817462710473,Rotation
Rot Other (68)-Other (70),2017-2024,162.36808565717615,Rotation
Rot Other (68)-Other (77),2017-2024,35.51534577218888,Rotation
Rot Other (68)-Other Hay,2017-2024,132.77000261689588,Rotation
Rot Other (68)-Sorghum,2017-2024,11.017997743277,Rotation
Rot Other (68)-Soybeans,2017-2024,348.58622589994155,Rotation
Rot Other (68)-Winter Wheat,2017-2024,128.92747630214663,Rotation
Rot Other (69)-Other Hay,2017-2024,54.05911132531672,Rotation
Rot Other (69)-Soybeans,2017-2024,99.14469380822288,Rotation
Rot Other (69)-Winter Wheat,2017-2024,6.6292716153052105,Rotation
Rot Other (70)-Other Hay,2017-2024,9.6077320471075,Rotation
Rot Other (77)-Other Hay,2017-2024,5.5678241031415,Rotation
Rot Other Hay-Sod/Grass Seed,2017-2024,33.926703528774695,Rotation
Rot Other Hay-Sorghum,2017-2024,101.3992183385073,Rotation
Rot Other Hay-Soybeans,2017-2024,1395.679176939774,Rotation
Rot Other Hay-Spring Wheat,2017-2024,20.2880847413947,Rotation
Rot Other Hay-Winter Wheat,2017-2024,283.11800338164846,Rotation
Rot Sod/Grass Seed-Soybeans,2017-2024,217.3881147147488,Rotation
Rot Soybeans-Winter Wheat,2017-2024,4197.893854179172,Rotation
